Gene,Gluconeogenesis,Glycolysis,Lactate-Shuttle,HMP-Shunt-Glutathione,TCA,Glycogenesis,Glycogenolysis,Various-Metabolites,ETC,FA-Synthesis,FA-Oxidation,Ketosis,Urea-Cycle,Glutamate-Receptors
SUCLG2,"WP, KEGG, BP","BP, WP","BP, KEGG, WP","BP, WP","KEGG, BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP",BP,BP,
ACAA1,"WP, KEGG, BP","BP, WP","BP, WP","BP, WP","BP, KEGG, WP",BP,"BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",
ACADM,"WP, BP, KEGG","BP, WP","BP, WP","BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",WP
ALDH18A1,"WP, BP","BP, WP","BP, WP","BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP",
ALDH7A1,"WP, BP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP","BP, WP",BP,"KEGG, BP","BP, WP","BP, WP","BP, WP"
ASNS,"WP, BP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP",BP
ASS1,"WP, BP","BP, WP","BP, KEGG, WP","BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP",
AUH,"WP, BP","BP, WP","BP, WP","BP, WP","BP, KEGG, WP",BP,"BP, WP","BP, WP","BP, WP",BP,"KEGG, BP","KEGG, BP, WP","BP, WP",
BCAT1,"WP, BP","BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,"KEGG, BP","KEGG, BP, WP","BP, WP",
BHMT,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","BP, KEGG, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP",WP
CAD,"WP, BP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","BP, KEGG, WP",
CBS,"WP, BP","BP, KEGG, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,"BP, WP","BP, WP","BP, WP",BP
CPS1,"WP, BP","BP, WP","BP, KEGG, WP","BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP",
CTH,"WP, BP","BP, KEGG, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,"BP, WP","BP, WP","BP, WP",
DBH,"WP, BP","BP, WP","BP, WP","BP, WP","BP, WP",BP,"BP, WP","BP, KEGG, WP","BP, WP",BP,BP,"BP, WP","BP, WP",
