Gene,Gluconeogenesis,Glycolysis,Lactate-Shuttle,HMP-Shunt-Glutathione,TCA,Glycogenesis,Glycogenolysis,Various-Metabolites,ETC,FA-Synthesis,FA-Oxidation,Ketosis,Urea-Cycle,Glutamate-Receptors
NDUFA11,BP,"WP, BP",BP,BP,"KEGG, BP, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,
NDUFA12,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFA13,BP,"WP, BP",BP,BP,"KEGG, BP, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,
NDUFA2,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFA3,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFA4,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFA5,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,"BP, WP",BP,BP,BP
NDUFA6,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFA7,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFA8,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFA9,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,"BP, WP",BP,BP,BP
NDUFAB1,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFB1,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFB10,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFB11,BP,"WP, BP",BP,BP,"KEGG, BP, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,
NDUFB2,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFB3,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFB4,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFB5,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFB6,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFB7,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFB8,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFB9,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFC1,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP","BP, WP",BP,"KEGG, BP, WP","BP, WP","BP, WP",BP,"BP, WP","BP, WP"
NDUFS1,BP,"WP, BP",BP,BP,"KEGG, BP, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFS2,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFS3,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFS4,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFS5,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFS6,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFS7,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFS8,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFV1,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFV2,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFV3,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
SDHC,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
SDHD,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
SMAD7,,"WP, BP",BP,BP,"BP, WP","KEGG, BP, WP",,BP,WP,BP,BP,BP,BP,
UQCR10,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
UQCR11,BP,"WP, KEGG, BP","KEGG, BP","KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP",BP,"KEGG, BP",BP,BP,"KEGG, BP"
UQCRB,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
UQCRC1,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
UQCRC2,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
UQCRFS1,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
UQCRHL,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
UQCRQ,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
VCAM1,,"WP, BP",BP,BP,"BP, WP","KEGG, BP, WP",,BP,WP,BP,BP,BP,"KEGG, BP",
ALS2,,WP,,"KEGG, BP, WP",KEGG,"KEGG, WP",WP,,KEGG,WP,WP,,WP,"BP, KEGG, WP"
B2M,,"WP, BP","KEGG, BP",,BP,"KEGG, BP, WP",WP,BP,,WP,"BP, WP",BP,WP,"BP, WP"
BPGM,"KEGG, BP","WP, BP, KEGG","KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"BP, WP","BP, WP",BP,"BP, WP","BP, WP"
CCL5,,"WP, KEGG, BP",BP,BP,"KEGG, BP","KEGG, BP, WP",WP,BP,"KEGG, BP",WP,"BP, WP",BP,"BP, WP","BP, KEGG, WP"
CCNA2,KEGG,"WP, KEGG, BP","KEGG, BP",,"KEGG, BP","BP, KEGG, WP","KEGG, WP",BP,BP,"KEGG, BP, WP","KEGG, BP, WP",BP,"BP, WP","KEGG, BP, WP"
CCNB2,,"WP, BP","KEGG, BP",,BP,"BP, WP",WP,,BP,"BP, WP",WP,,"BP, WP",WP
CD81,,WP,,,,"BP, KEGG, WP",WP,,,WP,WP,,WP,WP
CFLAR,BP,"WP, BP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP","KEGG, BP, WP",,BP,WP,"BP, WP",BP,"BP, WP","BP, WP"
COX17,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP","BP, WP",BP,"KEGG, BP, WP","BP, WP","BP, WP",BP,"BP, WP",WP
CSN2,,WP,,,,"BP, KEGG, WP",WP,,,WP,WP,,WP,"BP, WP"
EEF2,KEGG,"WP, BP, KEGG",BP,,BP,"KEGG, BP, WP","KEGG, WP",,BP,"KEGG, BP, WP","KEGG, BP, WP",,"BP, WP",WP
GRM7,,WP,KEGG,,,"BP, WP",WP,,,WP,WP,,WP,"BP, KEGG, WP"
IL18,,"WP, KEGG",,WP,WP,"KEGG, BP, WP",WP,,,WP,"BP, WP",,"BP, WP",WP
IRAK1,,"WP, BP, KEGG",,,,"KEGG, BP, WP",WP,,,WP,WP,,WP,"BP, WP"
IRF1,,"WP, KEGG, BP",BP,BP,BP,"BP, KEGG, WP",WP,BP,BP,WP,"BP, WP",BP,"BP, WP","BP, WP"
LCK,,"WP, BP","KEGG, BP",,BP,"KEGG, BP, WP",WP,,BP,WP,"BP, WP",BP,"BP, WP","BP, WP"
MMP13,,"WP, BP",BP,,,"KEGG, BP, WP",WP,BP,,WP,"BP, WP","BP, WP",WP,"BP, WP"
MMP3,,"WP, BP",BP,,,"KEGG, BP, WP",WP,BP,,WP,"BP, WP",BP,"BP, WP","KEGG, BP, WP"
MMP9,,"WP, BP","KEGG, BP, WP","BP, WP",BP,"BP, KEGG, WP",WP,,,WP,"BP, WP","BP, WP","BP, WP","KEGG, BP, WP"
MYD88,,"WP, BP, KEGG",,,,"KEGG, BP, WP",WP,,,WP,WP,,"BP, WP","BP, WP"
MYH6,KEGG,"WP, KEGG",KEGG,,,"KEGG, WP",WP,,"KEGG, BP","BP, WP",WP,,WP,WP
PARP1,,"WP, KEGG","KEGG, WP","KEGG, WP","KEGG, WP","KEGG, BP, WP","KEGG, WP",WP,KEGG,WP,"KEGG, WP",,"BP, WP",WP
PLD1,BP,"WP, BP","BP, KEGG",BP,"KEGG, BP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP",BP,"BP, WP","KEGG, WP"
PRCC,,"WP, BP","KEGG, BP, WP",BP,"KEGG, BP, WP","BP, WP",WP,BP,,"BP, WP","BP, WP",BP,"BP, WP","KEGG, WP"
RUNX2,,"WP, BP",BP,,,"BP, WP",WP,BP,,WP,"BP, WP","BP, WP",WP,"KEGG, BP, WP"
SEMA6C,,WP,,,,"BP, KEGG, WP",WP,,,WP,WP,,WP,WP
STMN1,,"WP, BP","KEGG, BP",BP,BP,"BP, WP",WP,BP,,"BP, WP","BP, WP",BP,"BP, WP",WP
TGM2,,"WP, BP","KEGG, BP","KEGG, BP","KEGG, BP","BP, WP",WP,BP,"KEGG, BP",WP,"BP, WP",BP,WP,"KEGG, BP, WP"
TICAM2,,WP,KEGG,,,"BP, KEGG, WP","KEGG, WP",,,WP,WP,,WP,WP
TIMP1,BP,"WP, BP, KEGG","KEGG, BP",,"KEGG, BP","KEGG, BP, WP",WP,BP,,WP,"BP, WP",BP,WP,"BP, WP"
TIMP3,BP,"WP, BP","KEGG, BP","BP, WP",BP,"BP, WP",WP,BP,,"BP, WP","BP, WP","BP, WP","BP, WP",WP
TNFSF11,,WP,,WP,,"KEGG, BP, WP",WP,,,WP,"BP, WP",,WP,WP
TOMM40,,WP,,"KEGG, BP, WP","KEGG, BP","KEGG, WP",WP,,"KEGG, BP",WP,WP,,WP,"BP, KEGG, WP"
TRAF1,,"WP, BP, KEGG","KEGG, BP, WP",BP,"KEGG, BP","KEGG, BP, WP","BP, WP",,BP,WP,WP,,"BP, WP","KEGG, WP"
BDH1,BP,BP,"WP, BP",BP,BP,BP,BP,BP,BP,BP,"KEGG, BP, WP","KEGG, BP, WP",BP,
OXCT1,BP,BP,"WP, BP",BP,"BP, KEGG",BP,BP,BP,BP,BP,"KEGG, BP, WP","KEGG, BP, WP",BP,
CUL3,,,WP,,WP,"KEGG, BP, WP",,WP,,WP,,,BP,
SLC11A2,BP,"KEGG, BP","WP, BP",,"KEGG, BP, WP","KEGG, BP, WP",BP,,KEGG,"KEGG, BP, WP","KEGG, BP, WP",,BP,KEGG
CD80,,,WP,,WP,"BP, WP",,,,,BP,,,"KEGG, BP"
CD86,,BP,"WP, BP",,"BP, WP","KEGG, BP, WP",,,BP,,BP,,BP,"KEGG, BP"
CYP24A1,BP,BP,"WP, KEGG, BP","BP, WP","BP, WP","BP, WP",BP,BP,BP,BP,BP,BP,BP,
ALDH4A1,BP,BP,"WP, BP, KEGG","BP, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,"KEGG, BP, WP",
GLS2,"KEGG, BP","KEGG, BP","WP, BP, KEGG","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP",BP,"KEGG, BP, WP",BP,BP,BP,BP,"KEGG, BP, WP","KEGG, BP"
"NAGS",BP,BP,"WP, BP, KEGG",BP,"BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,"KEGG, BP, WP",
SIRT1,"KEGG, BP","KEGG, BP","WP, KEGG, BP",WP,"KEGG, WP","KEGG, BP, WP","KEGG, BP","BP, WP",,"BP, KEGG, WP","KEGG, WP","BP, WP",,"KEGG, WP"
SIRT3,,KEGG,"WP, KEGG","KEGG, WP","KEGG, WP","BP, KEGG, WP",,WP,,,,,,
ARNT2,,BP,"WP, BP",BP,"BP, WP","BP, WP",,BP,,BP,"BP, WP",BP,BP,KEGG
CUL2,,KEGG,"WP, BP, KEGG",,"KEGG, BP, WP","KEGG, BP",,,,,,,,
DIAPH1,,KEGG,WP,,WP,"BP, KEGG, WP",,,,,,,,
EGLN2,,"BP, KEGG","WP, KEGG, BP",,"KEGG, BP, WP","KEGG, BP",,,,,,,,
RBX1,,KEGG,"WP, KEGG, BP",,"KEGG, BP, WP","BP, KEGG, WP",,WP,,,BP,,,
AP2M1,BP,BP,"WP, KEGG, BP","KEGG, BP","KEGG, BP",BP,,,"KEGG, BP",,"BP, WP",,,"KEGG, BP, WP"
CACNA1A,BP,"KEGG, BP","WP, BP, KEGG",BP,BP,"KEGG, BP",BP,BP,BP,BP,BP,BP,BP,"KEGG, BP, WP"
CACNA1B,,BP,"WP, BP, KEGG",KEGG,KEGG,"KEGG, BP",,,KEGG,,,,,"KEGG, BP"
CLTA,BP,BP,"WP, KEGG, BP","KEGG, BP","KEGG, BP",BP,,,"KEGG, BP","KEGG, BP","BP, WP",,,"KEGG, BP, WP"
DNM1,BP,BP,"WP, KEGG",,,BP,,,,,WP,,,"BP, KEGG, WP"
DNM1L,,BP,"WP, KEGG, BP",,,BP,KEGG,BP,,,BP,BP,,BP
DNM2,BP,"KEGG, BP","WP, BP",BP,BP,BP,BP,BP,BP,BP,"BP, WP",BP,BP,"BP, WP"
NSF,,,"WP, KEGG, BP",,,WP,,,,WP,,,,"BP, WP"
PARK7,,,WP,KEGG,"BP, KEGG","KEGG, BP, WP",,,"KEGG, BP",,,,,KEGG
RAB3A,,,"WP, BP, KEGG",,,WP,,,,WP,,,,"BP, WP"
RIMS1,,,"WP, BP, KEGG",,,,,,,,,,,"KEGG, BP"
SLC17A8,BP,BP,"WP, BP, KEGG",,,BP,BP,,,,,,,KEGG
SLC18A1,BP,BP,"WP, BP",,"KEGG, BP","KEGG, BP",BP,,"KEGG, BP",,,,,KEGG
SLC32A1,BP,BP,"WP, BP, KEGG",,,BP,BP,,,,,,,"KEGG, BP"
STX1B,,,"WP, BP, KEGG",,BP,BP,,,,,BP,,,BP
SYT1,,,"WP, BP, KEGG",,BP,BP,,,,,BP,,,BP
ABCG2,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP
AQP1,"BP, KEGG",BP,"WP, KEGG, BP",BP,"KEGG, BP",BP,BP,BP,BP,BP,BP,BP,"BP, WP",WP
ATP6V0C,BP,BP,"WP, BP",BP,"KEGG, BP",BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP
ATP6V0D2,BP,"KEGG, BP","WP, BP",BP,"KEGG, BP",BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP
ATP6V1A,BP,BP,"WP, BP",BP,"KEGG, BP",BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP
ATP6V1B1,BP,BP,"WP, BP",BP,"KEGG, BP",BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP
ATP6V1D,BP,BP,"WP, BP",BP,"KEGG, BP",BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP
ATP6V1F,BP,BP,"WP, BP",BP,"KEGG, BP",BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP
ATP6V1H,BP,BP,"WP, BP",BP,"KEGG, BP",BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP
CA2,"KEGG, BP",BP,"WP, KEGG, BP",BP,"KEGG, BP",BP,BP,BP,BP,BP,BP,BP,BP,
CA4,"KEGG, BP",BP,"WP, BP, KEGG",BP,"KEGG, BP",BP,BP,BP,BP,BP,BP,BP,BP,
SLC1A1,BP,BP,"WP, BP, KEGG",,,BP,BP,,,,,,,"KEGG, BP"
SLC22A7,BP,BP,"WP, BP, KEGG",,,BP,BP,BP,,,BP,BP,,BP
SLC3A2,BP,BP,"WP, BP",,BP,"KEGG, BP",BP,,BP,,"KEGG, WP",,BP,
SLC4A2,BP,BP,"WP, BP, KEGG",,,BP,BP,,,,,,,
SLC4A4,"KEGG, BP",BP,"WP, BP, KEGG",,"KEGG, BP",BP,BP,,,,,,,
CCNG1,,BP,"WP, KEGG, BP","BP, WP",BP,BP,,BP,,BP,BP,BP,"BP, WP",WP
CDC25A,,BP,"WP, KEGG, BP","BP, WP",BP,"BP, KEGG, WP",,BP,,BP,BP,BP,BP,
CX3CL1,BP,BP,WP,"BP, WP",BP,"KEGG, BP, WP",,,,,BP,,,BP
DDB2,,,"WP, KEGG","BP, WP",KEGG,"KEGG, BP, WP",,,,,,,,"KEGG, WP"
FUCA1,,BP,"WP, BP",WP,,,,,,"KEGG, BP",BP,BP,,BP
IRF9,,"BP, KEGG","WP, KEGG, BP","BP, WP",BP,"KEGG, BP",KEGG,BP,,BP,BP,BP,BP,BP
ISG15,BP,"KEGG, BP",WP,WP,BP,"KEGG, BP",,,,,,,,
MIR200C,,,"WP, KEGG",WP,,BP,,,,,,,,BP
MIR34A,,,"WP, KEGG","BP, WP",,BP,,,,,,BP,,BP
MLH1,,,"WP, KEGG, BP","BP, WP","KEGG, BP","KEGG, BP, WP",,,,,,,,
MSH2,,,"WP, KEGG, BP","BP, WP","KEGG, BP","KEGG, BP, WP",,,,,WP,,,
PML,,,"WP, KEGG, BP","BP, WP","KEGG, BP","KEGG, BP, WP",,,,BP,WP,,,KEGG
RRM2B,BP,"KEGG, BP","WP, BP","BP, KEGG, WP","KEGG, BP","KEGG, BP","KEGG, BP","BP, WP",BP,BP,BP,BP,"KEGG, BP, WP",WP
SERPINB5,,,"WP, KEGG","BP, WP",,BP,,,,,,,BP,
SESN2,,,WP,WP,,"BP, KEGG",,,,,,,,
SFN,BP,BP,"WP, BP","BP, WP",,"BP, KEGG, WP",BP,,,BP,BP,BP,,BP
TNFRSF10B,,"KEGG, BP","WP, KEGG, BP","BP, WP",BP,"KEGG, BP",KEGG,,BP,,,,BP,
TRAF4,,,"WP, BP","BP, WP",BP,"KEGG, BP",,,,,,,,
CYBA,,KEGG,"WP, KEGG, BP","KEGG, BP","BP, KEGG","KEGG, BP","BP, WP",BP,KEGG,,"KEGG, BP",,KEGG,KEGG
PLK1,BP,,"WP, BP",,,"BP, KEGG, WP","BP, WP",WP,,BP,,,,
RIPK1,,KEGG,"WP, KEGG, BP",,,"KEGG, BP, WP","KEGG, BP, WP",,,,,,BP,
RIPK3,,KEGG,"WP, BP, KEGG",,,BP,"KEGG, BP, WP",,,,,,,
SKP1,,"KEGG, BP","WP, KEGG, BP",,"KEGG, BP","BP, KEGG, WP","BP, WP",BP,,,"BP, WP",,,
TAB1,,"KEGG, BP","WP, BP",,BP,"KEGG, BP, WP","BP, WP",,,,,,BP,
TAB2,,BP,"WP, BP",,BP,"KEGG, BP, WP","BP, WP","BP, WP",BP,,BP,BP,BP,BP
TAB3,,,"WP, BP",,,"KEGG, BP","BP, WP",,,,,,,
TANK,,,"WP, BP",KEGG,KEGG,"KEGG, BP","BP, WP",,KEGG,,,,,KEGG
TBK1,,"BP, KEGG","WP, BP",KEGG,"KEGG, BP","KEGG, BP, WP","BP, WP",,"KEGG, BP",,,,BP,KEGG
TNFRSF1B,"KEGG, BP",BP,"WP, KEGG, BP","BP, WP",BP,BP,"KEGG, BP, WP",,BP,"KEGG, BP","KEGG, BP",BP,BP,BP
TRADD,"KEGG, BP","BP, KEGG","WP, KEGG, BP",,BP,"KEGG, BP, WP","KEGG, BP, WP",,BP,"KEGG, BP","KEGG, BP",,BP,
TRAP1,,BP,"WP, BP",KEGG,"KEGG, BP","KEGG, BP","BP, WP",,"KEGG, BP",,BP,BP,BP,"KEGG, BP"
ABCD3,BP,BP,"WP, BP",,"KEGG, BP",BP,BP,,,,"KEGG, BP, WP","KEGG, BP",BP,WP
AGAP2,"KEGG, BP",BP,WP,,,"BP, WP",KEGG,,,,WP,,,"KEGG, WP"
ALDH5A1,BP,BP,"WP, BP, KEGG",BP,BP,BP,BP,"KEGG, BP",BP,BP,"KEGG, BP, WP","KEGG, BP","KEGG, BP","BP, WP"
ARC,BP,BP,WP,,BP,"BP, WP",,,,,WP,,,"KEGG, WP"
CAMK2A,KEGG,KEGG,"WP, KEGG, BP",KEGG,KEGG,"KEGG, BP, WP",KEGG,,KEGG,"KEGG, WP","KEGG, WP",,,"BP, KEGG, WP"
CAMK4,,BP,"WP, BP",,BP,"BP, KEGG, WP",,,,WP,"BP, WP",BP,,"KEGG, BP, WP"
CNR1,,,WP,,KEGG,"BP, WP",,,KEGG,WP,"KEGG, WP",,,"BP, KEGG, WP"
DLG4,BP,BP,"WP, KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP, WP",,,"KEGG, BP",,WP,,,"BP, KEGG, WP"
GPHN,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,"BP, WP",BP,BP,WP
GRIA1,,,"WP, KEGG, BP","KEGG, BP, WP",KEGG,"KEGG, WP",,,KEGG,WP,WP,,,"BP, KEGG, WP"
GRIA2,,BP,"WP, BP",BP,,WP,,,,WP,"BP, WP",BP,,"BP, KEGG, WP"
GRM1,KEGG,,"WP, KEGG","KEGG, BP","KEGG, BP","KEGG, BP, WP",KEGG,,"KEGG, BP",,WP,,,"BP, KEGG, WP"
GRM5,,,"WP, KEGG","KEGG, BP, WP","KEGG, BP","KEGG, BP",,,"KEGG, BP",,WP,,,"BP, KEGG, WP"
NF1,BP,BP,WP,,,"BP, WP",BP,,,,"BP, WP",BP,BP,"KEGG, WP"
RAP1GAP,,,WP,,,BP,,,,,WP,,,"KEGG, WP"
TECR,,BP,"WP, BP",,BP,,,,,"KEGG, BP","KEGG, BP, WP","KEGG, BP",,"BP, WP"
GABBR1,,,"KEGG, BP",,,BP,,,,,,,,"WP, BP, KEGG"
GRM2,,,KEGG,,,BP,,,,,,,,"WP, BP, KEGG"
GRM3,,,KEGG,,,BP,,,,,,,,"WP, BP, KEGG"
GRM4,,,KEGG,,,BP,,,,,,,,"WP, BP, KEGG"
ACTB,"KEGG, BP","BP, KEGG","KEGG, BP",KEGG,"KEGG, BP","KEGG, BP, WP",,,"KEGG, BP",,"BP, WP",BP,"KEGG, BP","WP, KEGG, BP"
ADCY1,BP,"KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP, WP","KEGG, BP",BP,"KEGG, BP",BP,"KEGG, BP, WP",BP,"KEGG, BP","WP, KEGG, BP"
DRD1,,,,,"KEGG, WP","KEGG, BP, WP",,,KEGG,,WP,,,"WP, BP, KEGG"
DRD2,,,,,"KEGG, WP","KEGG, BP, WP",,WP,KEGG,,WP,,,"WP, BP, KEGG"
GNAI1,BP,BP,"KEGG, BP",BP,"KEGG, BP","BP, KEGG, WP",BP,BP,"KEGG, BP","BP, WP",BP,BP,"BP, WP","WP, KEGG, BP"
GNAS,"BP, KEGG","KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP, WP","KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",BP,"BP, WP","WP, KEGG, BP"
GRIA3,,,BP,,,WP,,,,WP,,,,"WP, BP, KEGG"
PPP1R1A,,,,,,,,,,,,,,"WP, BP, KEGG"
GRIN3A,,,KEGG,,KEGG,"KEGG, WP",,,KEGG,,,,,"WP, BP, KEGG"
UBE3A,,KEGG,,,BP,"KEGG, BP, WP",,,,,"BP, WP",,,WP
DLG1,BP,"KEGG, BP","BP, KEGG",,,"KEGG, BP, WP",,,,WP,,,,"WP, BP"
TJP1,,KEGG,,,,WP,,,,,,,,"WP, BP, KEGG"
ATP2B1,BP,BP,BP,WP,BP,BP,BP,,,,,,,"WP, KEGG, BP"
GPX4,,BP,BP,"KEGG, BP, WP","KEGG, BP, WP",,,,,,"KEGG, BP, WP",BP,,"WP, BP"
ADCY10,,BP,,BP,,BP,BP,,,,WP,,WP,"WP, KEGG"
ADCY2,"BP, KEGG","KEGG, BP","KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP",BP,BP,"KEGG, BP","KEGG, BP, WP",BP,BP,"WP, BP"
ADCY5,BP,BP,BP,BP,"KEGG, BP","KEGG, BP, WP",BP,BP,"KEGG, BP",BP,"BP, WP",BP,BP,"WP, KEGG, BP"
ADCY6,BP,BP,BP,BP,BP,"BP, WP",BP,BP,BP,BP,"BP, WP",BP,BP,"WP, KEGG, BP"
ADORA2A,,BP,BP,,"KEGG, WP","BP, WP",,,KEGG,,WP,,,"WP, BP, KEGG"
GUCY1A2,,"BP, KEGG",BP,BP,,"KEGG, BP","KEGG, BP",,,,,,,"WP, KEGG, BP"
PDE10A,,"BP, KEGG",BP,BP,,"KEGG, BP","KEGG, BP",,,,,,,"WP, KEGG, BP"
PDE11A,,BP,BP,BP,KEGG,"KEGG, BP",BP,,,,,,,"WP, BP"
PDE1A,,BP,BP,BP,BP,BP,BP,BP,,BP,BP,BP,BP,"WP, KEGG, BP"
PDE3B,"KEGG, BP","BP, KEGG","KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP",,BP,"KEGG, BP, WP","KEGG, BP",BP,BP,"WP, BP"
PDE7B,,"KEGG, BP",,BP,,"KEGG, BP","BP, KEGG",,,,,,,"WP, BP"
PDE8A,,BP,,BP,KEGG,"KEGG, BP",BP,,,,,,,"WP, BP"
PPP1R1B,,,,,,KEGG,,,,,,,,"WP, BP, KEGG"
GNA11,BP,BP,"KEGG, BP",BP,"KEGG, BP","BP, KEGG, WP",BP,BP,BP,"BP, WP","BP, WP",BP,"KEGG, BP","WP, KEGG, BP"
CNGB1,,,,,,,BP,,,,,,,"WP, KEGG"
NEFL,,,BP,"KEGG, BP, WP",KEGG,"KEGG, WP",,,KEGG,,WP,,,"WP, BP, KEGG"
TSPO,,,,,,,,,,,,,,"WP, BP, KEGG"
XIAP,,,"KEGG, BP",,BP,"BP, WP",,,,,,,BP,WP
DLX5,,,,,,"KEGG, BP, WP",,,,BP,,,,WP
